id,question,ground_truth,flat_rag_answer,graph_rag_answer,flat_correct,graph_correct,flat_latency,graph_latency,flat_tokens,graph_tokens,notes
1,Ai là người đồng sáng lập OpenAI cùng Sam Altman?,Elon Musk,"[Demo] Dựa trên vector search: OpenAI được thành lập bởi Sam Altman và Elon Musk vào năm 2015. OpenAI có trụ sở tại San Francisco, California. Sam Altman là CEO của OpenAI. OpenAI đã phát triển ChatGPT và mô hình GPT-4. Elon Musk rời khỏi hội đồng quản trị OpenAI vào năm 2018. Elon Musk cũng là CEO của Tesla và SpaceX.

Microsoft đã đầu tư hơn 10 tỷ đô la vào OpenAI vào năm 2023. Microsoft tích hợp GPT-4 vào Bing và Copilot. Sa","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(OpenAI, FOUNDED_BY, Sam Altman)
(OpenAI, FOUNDED_BY, Elon Musk)
(OpenAI, FOUNDED_IN, 2015)
(OpenAI, HEADQUARTERED_IN, San Francisco)
(OpenAI, DEVELOPED, ChatGPT)
(OpenAI, DEVELOPED, GPT-4)
(Sam Altman, CEO_OF, OpenAI)
(Elon Musk, LEFT_BOARD, OpenAI)
(Microsoft, INVESTED_IN, OpenAI)
(Elon Musk, LEFT_BOARD_YEAR, 2018)
(Elon Musk, CEO_OF, Tesla)
(Elon Musk, FOUNDED, SpaceX)
(Elon Musk, ACQUIRED, Twitter)
(Elon Musk, RENAMED, X)
(Tesla, FOUNDED_BY, Elon Musk)
(Spa",Đúng,Đúng,0.416,0.0,0,0,Cần liên kết OpenAI -> FOUNDED_BY
2,Năm nào công ty tạo ra ChatGPT được thành lập?,2015,"[Demo] Dựa trên vector search: Adobe được thành lập bởi John Warnock và Charles Geschke vào năm 1982. Adobe tạo ra PDF và Photoshop. Adobe mua lại Figma vào năm 2022 (thỏa thuận 20 tỷ đô la, sau đó bị hủy). Figma được thành lập bởi Dylan Field vào năm 2012.

OpenAI được thành lập bởi Sam Altman và Elon Musk vào năm 2015. OpenAI có trụ sở tại San Francisco, California. Sam Altman là CEO của OpenAI. OpenAI đã phát triển ChatGPT v","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(OpenAI, DEVELOPED, ChatGPT)
(OpenAI, FOUNDED_BY, Sam Altman)
(OpenAI, FOUNDED_BY, Elon Musk)
(OpenAI, FOUNDED_IN, 2015)
(OpenAI, HEADQUARTERED_IN, San Francisco)
(OpenAI, DEVELOPED, GPT-4)
(Sam Altman, CEO_OF, OpenAI)
(Elon Musk, LEFT_BOARD, OpenAI)
(Microsoft, INVESTED_IN, OpenAI)",Đúng,Đúng,0.285,0.0,0,0,ChatGPT -> OpenAI -> FOUNDED_IN
3,Ai là CEO của công ty đã mua DeepMind?,Sundar Pichai,"[Demo] Dựa trên vector search: Demis Hassabis là CEO của DeepMind. DeepMind đã phát triển AlphaGo và AlphaFold. Sundar Pichai là CEO của Google và Alphabet. Sundar Pichai thay thế Larry Page vào năm 2019. Microsoft được thành lập bởi Bill Gates và Paul Allen vào năm 1975 tại Albuquerque, New Mexico.

OpenAI được thành lập bởi Sam Altman và Elon Musk vào năm 2015. OpenAI có trụ sở tại San Francisco, California. Sam Altman là CEO","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(DeepMind, FOUNDED_BY, Demis Hassabis)
(DeepMind, FOUNDED_BY, Shane Legg)
(DeepMind, FOUNDED_BY, Mustafa Suleyman)
(DeepMind, FOUNDED_IN, 2010)
(DeepMind, HEADQUARTERED_IN, London)
(DeepMind, DEVELOPED, AlphaGo)
(DeepMind, DEVELOPED, AlphaFold)
(Google, ACQUIRED, DeepMind)
(Demis Hassabis, CEO_OF, DeepMind)
(Instagram, FOUNDED_IN, 2010)
(Google, FOUNDED_BY, Larry Page)
(Google, FOUNDED_BY, Sergey Brin)
(Google, FOUNDED_IN, 1998)
(Google, HEADQUARTERED_IN, Mount",Đúng,Sai,0.265,0.0,0,0,DeepMind -> acquired by Google -> CEO Sundar Pichai
4,DeepMind được thành lập ở đâu và bởi ai?,"London, bởi Demis Hassabis, Shane Legg và Mustafa Suleyman (2010)","[Demo] Dựa trên vector search: Larry Page và Sergey Brin đã tạo ra thuật toán PageRank. Google có trụ sở chính tại Mountain View, California. Google đã mua lại DeepMind vào năm 2014 với giá khoảng 500 triệu đô la. DeepMind được thành lập bởi Demis Hassabis, Shane Legg và Mustafa Suleyman vào năm 2010 tại London.

Demis Hassabis là CEO của DeepMind. DeepMind đã phát triển AlphaGo và AlphaFold. Sundar Pichai là CEO của Google và ","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(DeepMind, FOUNDED_BY, Demis Hassabis)
(DeepMind, FOUNDED_BY, Shane Legg)
(DeepMind, FOUNDED_BY, Mustafa Suleyman)
(DeepMind, FOUNDED_IN, 2010)
(DeepMind, HEADQUARTERED_IN, London)
(DeepMind, DEVELOPED, AlphaGo)
(DeepMind, DEVELOPED, AlphaFold)
(Google, ACQUIRED, DeepMind)
(Demis Hassabis, CEO_OF, DeepMind)
(Instagram, FOUNDED_IN, 2010)
(Google, FOUNDED_BY, Larry Page)
(Google, FOUNDED_BY, Sergey Brin)
(Google, FOUNDED_IN, 1998)
(Google, HEADQUARTERED_IN, Mount",Đúng,Đúng,0.256,0.0,0,0,Thông tin trực tiếp về DeepMind
5,Công ty nào đã đầu tư hơn 10 tỷ USD vào OpenAI?,Microsoft,"[Demo] Dựa trên vector search: OpenAI được thành lập bởi Sam Altman và Elon Musk vào năm 2015. OpenAI có trụ sở tại San Francisco, California. Sam Altman là CEO của OpenAI. OpenAI đã phát triển ChatGPT và mô hình GPT-4. Elon Musk rời khỏi hội đồng quản trị OpenAI vào năm 2018. Elon Musk cũng là CEO của Tesla và SpaceX.

Microsoft đã đầu tư hơn 10 tỷ đô la vào OpenAI vào năm 2023. Microsoft tích hợp GPT-4 vào Bing và Copilot. Sa","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(OpenAI, FOUNDED_BY, Sam Altman)
(OpenAI, FOUNDED_BY, Elon Musk)
(OpenAI, FOUNDED_IN, 2015)
(OpenAI, HEADQUARTERED_IN, San Francisco)
(OpenAI, DEVELOPED, ChatGPT)
(OpenAI, DEVELOPED, GPT-4)
(Sam Altman, CEO_OF, OpenAI)
(Elon Musk, LEFT_BOARD, OpenAI)
(Microsoft, INVESTED_IN, OpenAI)
(Elon Musk, LEFT_BOARD_YEAR, 2018)
(Elon Musk, CEO_OF, Tesla)
(Elon Musk, FOUNDED, SpaceX)
(Elon Musk, ACQUIRED, Twitter)
(Elon Musk, RENAMED, X)
(Tesla, FOUNDED_BY, Elon Musk)
(Spa",Đúng,Đúng,0.254,0.0,0,0,Quan hệ INVESTED_IN
6,Ai là CEO của công ty sở hữu GitHub?,Satya Nadella,"[Demo] Dựa trên vector search: Bill Gates là đồng sáng lập Microsoft và từng là CEO của công ty. Paul Allen rời Microsoft vào năm 1983. Microsoft đã mua lại GitHub vào năm 2018 với giá 7,5 tỷ đô la. GitHub được thành lập bởi Tom Preston-Werner, Chris Wanstrath, PJ Hyett và Scott Chacon vào năm 2008.

OpenAI được thành lập bởi Sam Altman và Elon Musk vào năm 2015. OpenAI có trụ sở tại San Francisco, California. Sam Altman là CEO","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(GitHub, FOUNDED_IN, 2008)
(Microsoft, ACQUIRED, GitHub)
(Microsoft, FOUNDED_BY, Bill Gates)
(Microsoft, FOUNDED_BY, Paul Allen)
(Microsoft, FOUNDED_IN, 1975)
(Microsoft, GITHUB_ACQUISITION_YEAR, 2018)
(Microsoft, INVESTED_IN, OpenAI)
(Microsoft, OPENAI_INVESTMENT, 10 billion USD)
(Microsoft, INTEGRATED, GPT-4)
(Satya Nadella, CEO_OF, Microsoft)",Sai,Đúng,0.305,0.0,0,0,GitHub -> Microsoft -> CEO
7,Năm nào Instagram được thành lập và bởi ai đã mua lại?,"2010, được Meta (Facebook) mua năm 2012","[Demo] Dựa trên vector search: Meta đã mua lại Instagram vào năm 2012 với giá khoảng 1 tỷ đô la. Instagram được thành lập bởi Kevin Systrom và Mike Krieger vào năm 2010. Meta đã mua lại WhatsApp vào năm 2014 với giá 19 tỷ đô la. WhatsApp được thành lập bởi Brian Acton và Jan Koum vào năm 2009.

Adobe được thành lập bởi John Warnock và Charles Geschke vào năm 1982. Adobe tạo ra PDF và Photoshop. Adobe mua lại Figma vào năm 2022 ","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(Instagram, FOUNDED_IN, 2010)
(Instagram, FOUNDED_BY, Kevin Systrom)
(Meta, ACQUIRED, Instagram)
(DeepMind, FOUNDED_IN, 2010)
(Meta, FORMERLY_NAMED, Facebook)
(Meta, FOUNDED_BY, Mark Zuckerberg)
(Meta, FOUNDED_IN, 2004)
(Meta, FOUNDED_AT, Harvard University)
(Meta, RENAMED, 2021)
(Meta, ACQUIRED, WhatsApp)
(Mark Zuckerberg, CEO_OF, Meta)",Đúng,Sai,0.277,0.0,0,0,Instagram founder + Meta acquisition
8,Elon Musk đã sáng lập những công ty công nghệ nào?,"OpenAI, Tesla, SpaceX (và mua Twitter/X)","[Demo] Dựa trên vector search: OpenAI được thành lập bởi Sam Altman và Elon Musk vào năm 2015. OpenAI có trụ sở tại San Francisco, California. Sam Altman là CEO của OpenAI. OpenAI đã phát triển ChatGPT và mô hình GPT-4. Elon Musk rời khỏi hội đồng quản trị OpenAI vào năm 2018. Elon Musk cũng là CEO của Tesla và SpaceX.

Bill Gates là đồng sáng lập Microsoft và từng là CEO của công ty. Paul Allen rời Microsoft vào năm 1983. Micr","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(Elon Musk, LEFT_BOARD, OpenAI)
(Elon Musk, LEFT_BOARD_YEAR, 2018)
(Elon Musk, CEO_OF, Tesla)
(Elon Musk, FOUNDED, SpaceX)
(Elon Musk, ACQUIRED, Twitter)
(Elon Musk, RENAMED, X)
(OpenAI, FOUNDED_BY, Elon Musk)
(Tesla, FOUNDED_BY, Elon Musk)
(SpaceX, FOUNDED_BY, Elon Musk)
(OpenAI, FOUNDED_BY, Sam Altman)
(OpenAI, FOUNDED_IN, 2015)
(OpenAI, HEADQUARTERED_IN, San Francisco)
(OpenAI, DEVELOPED, ChatGPT)
(OpenAI, DEVELOPED, GPT-4)
(Sam Altman, CEO_OF, OpenAI)
(Micr",Sai,Đúng,0.292,0.0,0,0,Nhiều quan hệ FOUNDED_BY từ Elon Musk
9,Ai thay thế Steve Jobs làm CEO của Apple?,Tim Cook (2011),"[Demo] Dựa trên vector search: Steve Jobs là đồng sáng lập Apple và từng là CEO. Steve Wozniak thiết kế Apple I và Apple II. Tim Cook trở thành CEO của Apple vào năm 2011 sau khi Steve Jobs từ chức. Apple có trụ sở tại Cupertino, California. Apple đã mua lại Beats Electronics vào năm 2014 với giá 3 tỷ đô la.

Arvind Krishna là CEO của IBM từ năm 2020. Oracle được thành lập bởi Larry Ellison, Bob Miner và Ed Oates vào năm 1977. ","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(Apple, FOUNDED_BY, Steve Jobs)
(Apple, FOUNDED_BY, Steve Wozniak)
(Apple, FOUNDED_IN, 1976)
(Apple, HEADQUARTERED_IN, Cupertino)
(Apple, ACQUIRED, Beats Electronics)
(Tim Cook, CEO_OF, Apple)
(Steve Jobs, STEPPED_DOWN, 2011)
(Tim Cook, BECAME_CEO, 2011)",Đúng,Đúng,0.288,0.0,0,0,Apple -> CEO succession
10,Công ty nào tạo ra ngôn ngữ Java và bị Oracle mua lại?,Sun Microsystems (2010),"[Demo] Dựa trên vector search: Arvind Krishna là CEO của IBM từ năm 2020. Oracle được thành lập bởi Larry Ellison, Bob Miner và Ed Oates vào năm 1977. Larry Ellison là CTO của Oracle. Oracle đã mua lại Sun Microsystems vào năm 2010 với giá 7,4 tỷ đô la. Sun Microsystems tạo ra ngôn ngữ Java.

Adobe được thành lập bởi John Warnock và Charles Geschke vào năm 1982. Adobe tạo ra PDF và Photoshop. Adobe mua lại Figma vào năm 2022 (t","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(Oracle, FOUNDED_BY, Larry Ellison)
(Oracle, FOUNDED_IN, 1977)
(Oracle, ACQUIRED, Sun Microsystems)
(Larry Ellison, CTO_OF, Oracle)
(Sun Microsystems, CREATED, Java)",Đúng,Đúng,0.267,0.0,0,0,Java -> Sun -> Oracle acquisition
11,Jeff Bezos rời vị trí CEO Amazon năm nào và ai kế nhiệm?,"2021, Andy Jassy","[Demo] Dựa trên vector search: Amazon được thành lập bởi Jeff Bezos vào năm 1994 tại Seattle, Washington. Jeff Bezos là CEO của Amazon cho đến năm 2021. Andy Jassy trở thành CEO của Amazon vào năm 2021. Amazon sở hữu AWS (Amazon Web Services). Amazon đã mua lại Whole Foods vào năm 2017 với giá 13,7 tỷ đô la.

Demis Hassabis là CEO của DeepMind. DeepMind đã phát triển AlphaGo và AlphaFold. Sundar Pichai là CEO của Google và Alph","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(Amazon, FOUNDED_BY, Jeff Bezos)
(Amazon, FOUNDED_IN, 1994)
(Amazon, OWNS, AWS)
(Amazon, ACQUIRED, Twitch)
(Andy Jassy, CEO_OF, Amazon)
(Jeff Bezos, STEPPED_DOWN_CEO, 2021)
(Twitch, FOUNDED_IN, 2011)",Đúng,Đúng,0.354,0.0,0,0,Amazon leadership transition
12,WhatsApp được mua với giá bao nhiêu và bởi công ty nào?,19 tỷ USD bởi Meta (Facebook) năm 2014,"[Demo] Dựa trên vector search: Meta đã mua lại Instagram vào năm 2012 với giá khoảng 1 tỷ đô la. Instagram được thành lập bởi Kevin Systrom và Mike Krieger vào năm 2010. Meta đã mua lại WhatsApp vào năm 2014 với giá 19 tỷ đô la. WhatsApp được thành lập bởi Brian Acton và Jan Koum vào năm 2009.

Microsoft đã đầu tư hơn 10 tỷ đô la vào OpenAI vào năm 2023. Microsoft tích hợp GPT-4 vào Bing và Copilot. Satya Nadella là CEO của Mic","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(WhatsApp, ACQUISITION_PRICE, 19 billion USD)
(WhatsApp, FOUNDED_IN, 2009)
(Meta, ACQUIRED, WhatsApp)
(Meta, FORMERLY_NAMED, Facebook)
(Meta, FOUNDED_BY, Mark Zuckerberg)
(Meta, FOUNDED_IN, 2004)
(Meta, FOUNDED_AT, Harvard University)
(Meta, RENAMED, 2021)
(Meta, ACQUIRED, Instagram)
(Mark Zuckerberg, CEO_OF, Meta)",Đúng,Đúng,0.305,0.0,0,0,WhatsApp acquisition chain
13,Ai là CEO của NVIDIA và công ty này thành lập năm nào?,"Jensen Huang, thành lập 1993","[Demo] Dựa trên vector search: Amazon đã mua lại Twitch vào năm 2014 với giá 970 triệu đô la. Twitch được thành lập bởi Justin Kan và Emmett Shear vào năm 2011. NVIDIA được thành lập bởi Jensen Huang, Chris Malachowsky và Curtis Priem vào năm 1993 tại Santa Clara, California. Jensen Huang là CEO của NVIDIA.

Arvind Krishna là CEO của IBM từ năm 2020. Oracle được thành lập bởi Larry Ellison, Bob Miner và Ed Oates vào năm 1977. L","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(NVIDIA, FOUNDED_BY, Jensen Huang)
(NVIDIA, FOUNDED_IN, 1993)
(Jensen Huang, CEO_OF, NVIDIA)",Đúng,Đúng,0.356,0.0,0,0,NVIDIA facts
14,Larry Page và Sergey Brin đã tạo ra thuật toán gì?,PageRank,"[Demo] Dựa trên vector search: Larry Page và Sergey Brin đã tạo ra thuật toán PageRank. Google có trụ sở chính tại Mountain View, California. Google đã mua lại DeepMind vào năm 2014 với giá khoảng 500 triệu đô la. DeepMind được thành lập bởi Demis Hassabis, Shane Legg và Mustafa Suleyman vào năm 2010 tại London.

Demis Hassabis là CEO của DeepMind. DeepMind đã phát triển AlphaGo và AlphaFold. Sundar Pichai là CEO của Google và ","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(Larry Page, CREATED, PageRank)
(Google, FOUNDED_BY, Larry Page)
(Sergey Brin, CREATED, PageRank)
(Google, FOUNDED_BY, Sergey Brin)
(Larry Ellison, CTO_OF, Oracle)
(Oracle, FOUNDED_BY, Larry Ellison)
(Google, FOUNDED_IN, 1998)
(Google, HEADQUARTERED_IN, Mountain View)
(Google, ACQUIRED, DeepMind)
(Google, ACQUISITION_YEAR, 2014)
(Sundar Pichai, CEO_OF, Google)
(Oracle, FOUNDED_IN, 1977)
(Oracle, ACQUIRED, Sun Microsystems)",Đúng,Đúng,0.467,0.0,0,0,Google founders contribution
15,Công ty mẹ của DeepMind có trụ sở chính ở đâu?,"Mountain View, California (Google/Alphabet)","[Demo] Dựa trên vector search: Larry Page và Sergey Brin đã tạo ra thuật toán PageRank. Google có trụ sở chính tại Mountain View, California. Google đã mua lại DeepMind vào năm 2014 với giá khoảng 500 triệu đô la. DeepMind được thành lập bởi Demis Hassabis, Shane Legg và Mustafa Suleyman vào năm 2010 tại London.

Demis Hassabis là CEO của DeepMind. DeepMind đã phát triển AlphaGo và AlphaFold. Sundar Pichai là CEO của Google và ","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(DeepMind, FOUNDED_BY, Demis Hassabis)
(DeepMind, FOUNDED_BY, Shane Legg)
(DeepMind, FOUNDED_BY, Mustafa Suleyman)
(DeepMind, FOUNDED_IN, 2010)
(DeepMind, HEADQUARTERED_IN, London)
(DeepMind, DEVELOPED, AlphaGo)
(DeepMind, DEVELOPED, AlphaFold)
(Google, ACQUIRED, DeepMind)
(Demis Hassabis, CEO_OF, DeepMind)
(Instagram, FOUNDED_IN, 2010)
(Google, FOUNDED_BY, Larry Page)
(Google, FOUNDED_BY, Sergey Brin)
(Google, FOUNDED_IN, 1998)
(Google, HEADQUARTERED_IN, Mount",Đúng,Sai,0.443,0.0,0,0,DeepMind -> Google -> HQ location
16,Slack được thành lập bởi ai và bị công ty nào mua lại?,"Stewart Butterfield (2013), mua bởi Salesforce (2021)","[Demo] Dựa trên vector search: Salesforce được thành lập bởi Marc Benioff vào năm 1999 tại San Francisco. Marc Benioff là CEO của Salesforce. Salesforce mua lại Slack vào năm 2021 với giá 27,7 tỷ đô la. Slack được thành lập bởi Stewart Butterfield vào năm 2013.

OpenAI được thành lập bởi Sam Altman và Elon Musk vào năm 2015. OpenAI có trụ sở tại San Francisco, California. Sam Altman là CEO của OpenAI. OpenAI đã phát triển ChatG","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(Slack, FOUNDED_BY, Stewart Butterfield)
(Slack, FOUNDED_IN, 2013)
(Salesforce, ACQUIRED, Slack)
(Salesforce, FOUNDED_BY, Marc Benioff)
(Salesforce, FOUNDED_IN, 1999)
(Marc Benioff, CEO_OF, Salesforce)",Đúng,Đúng,0.4,0.0,0,0,Slack -> Salesforce
17,Elon Musk mua Twitter với giá bao nhiêu và đổi tên thành gì?,"44 tỷ USD, đổi tên thành X (2023)","[Demo] Dựa trên vector search: OpenAI được thành lập bởi Sam Altman và Elon Musk vào năm 2015. OpenAI có trụ sở tại San Francisco, California. Sam Altman là CEO của OpenAI. OpenAI đã phát triển ChatGPT và mô hình GPT-4. Elon Musk rời khỏi hội đồng quản trị OpenAI vào năm 2018. Elon Musk cũng là CEO của Tesla và SpaceX.

Meta đã mua lại Instagram vào năm 2012 với giá khoảng 1 tỷ đô la. Instagram được thành lập bởi Kevin Systrom ","[Demo] Dựa trên đồ thị: Các quan hệ trong đồ thị tri thức:
(Elon Musk, LEFT_BOARD, OpenAI)
(Elon Musk, LEFT_BOARD_YEAR, 2018)
(Elon Musk, CEO_OF, Tesla)
(Elon Musk, FOUNDED, SpaceX)
(Elon Musk, ACQUIRED, Twitter)
(Elon Musk, RENAMED, X)
(OpenAI, FOUNDED_BY, Elon Musk)
(Tesla, FOUNDED_BY, Elon Musk)
(SpaceX, FOUNDED_BY, Elon Musk)
(Twitter, FOUNDED_BY, Jack Dorsey)
(Twitter, FOUNDED_IN, 2006)
(Twitter, RENAMED_TO, X)
(Twitter, ACQUISITION_PRICE, 44 billion USD)
(OpenAI, FOUNDED_BY, Sam Altman)
(OpenAI, FOUNDED_IN, 2015)",Sai,Sai,0.345,0.0,0,0,Twitter acquisition by Musk
